✅ or ❌,page,initials,date
❌,urn:cite2:hmt:msA.v1:1r,NS,3/24/2022
❌,urn:cite2:hmt:msA.v1:1v,NS,3/24/2022
✅,urn:cite2:hmt:msA.v1:2r,NS,3/24/2022
✅,urn:cite2:hmt:msA.v1:2v,NS,3/24/2022
✅,urn:cite2:hmt:msA.v1:3r,NS,3/24/2022
✅,urn:cite2:hmt:msA.v1:3v,NS,3/24/2022
❌,urn:cite2:hmt:msA.v1:4r,NS,3/24/2022
❌,urn:cite2:hmt:msA.v1:4v,NS,3/24/2022
✅,urn:cite2:hmt:msA.v1:5r,NS,3/24/2022
✅,urn:cite2:hmt:msA.v1:5v,NS,3/24/2022
❌,urn:cite2:hmt:msA.v1:6r,NS,3/24/2022
❌,urn:cite2:hmt:msA.v1:6v,NS,3/24/2022
✅,urn:cite2:hmt:msA.v1:7r,NS,3/24/2022
✅,urn:cite2:hmt:msA.v1:7v,NS,3/24/2022
❌,urn:cite2:hmt:msA.v1:8r,NS,3/24/2022
✅,urn:cite2:hmt:msA.v1:8v,NS,3/24/2022
,urn:cite2:hmt:msA.v1:9r,,
❌,urn:cite2:hmt:msA.v1:9v,NS,3/24/2022
✅,urn:cite2:hmt:msA.v1:10r,NS,3/24/2022
✅,urn:cite2:hmt:msA.v1:10v,NS,3/24/2022
✅,urn:cite2:hmt:msA.v1:11r,NS,3/24/2022
✅,urn:cite2:hmt:msA.v1:11v,,
,urn:cite2:hmt:msA.v1:12r,,
,urn:cite2:hmt:msA.v1:12v,,
,urn:cite2:hmt:msA.v1:13r,,
,urn:cite2:hmt:msA.v1:13v,,
,urn:cite2:hmt:msA.v1:14r,,
,urn:cite2:hmt:msA.v1:14v,,
,urn:cite2:hmt:msA.v1:15r,,
,urn:cite2:hmt:msA.v1:15v,,
,urn:cite2:hmt:msA.v1:16r,,
,urn:cite2:hmt:msA.v1:16v,,
,urn:cite2:hmt:msA.v1:17r,,
,urn:cite2:hmt:msA.v1:17v,,
,urn:cite2:hmt:msA.v1:18r,,
,urn:cite2:hmt:msA.v1:18v,,
,urn:cite2:hmt:msA.v1:19r,,
,urn:cite2:hmt:msA.v1:19v,,
,urn:cite2:hmt:msA.v1:20r,,
,urn:cite2:hmt:msA.v1:20v,,
,urn:cite2:hmt:msA.v1:21r,,
,urn:cite2:hmt:msA.v1:21v,,
,urn:cite2:hmt:msA.v1:22r,,
,urn:cite2:hmt:msA.v1:22v,,
,urn:cite2:hmt:msA.v1:23r,,
,urn:cite2:hmt:msA.v1:23v,,
,urn:cite2:hmt:msA.v1:24r,,
,urn:cite2:hmt:msA.v1:24v,,
,urn:cite2:hmt:msA.v1:25r,,
,urn:cite2:hmt:msA.v1:25v,,
,urn:cite2:hmt:msA.v1:26r,,
,urn:cite2:hmt:msA.v1:26v,,
,urn:cite2:hmt:msA.v1:27r,,
,urn:cite2:hmt:msA.v1:27v,,
,urn:cite2:hmt:msA.v1:28r,,
,urn:cite2:hmt:msA.v1:28v,,
,urn:cite2:hmt:msA.v1:29r,,
,urn:cite2:hmt:msA.v1:29v,,
,urn:cite2:hmt:msA.v1:30r,,
,urn:cite2:hmt:msA.v1:30v,,
,urn:cite2:hmt:msA.v1:31r,,
,urn:cite2:hmt:msA.v1:31v,,
,urn:cite2:hmt:msA.v1:32r,,
,urn:cite2:hmt:msA.v1:32v,,
,urn:cite2:hmt:msA.v1:33r,,
,urn:cite2:hmt:msA.v1:33v,,
,urn:cite2:hmt:msA.v1:34r,,
,urn:cite2:hmt:msA.v1:34v,,
,urn:cite2:hmt:msA.v1:35r,,
,urn:cite2:hmt:msA.v1:35v,,
,urn:cite2:hmt:msA.v1:36r,,
,urn:cite2:hmt:msA.v1:36v,,
,urn:cite2:hmt:msA.v1:37r,,
,urn:cite2:hmt:msA.v1:37v,,
,urn:cite2:hmt:msA.v1:38r,,
,urn:cite2:hmt:msA.v1:38v,,
,urn:cite2:hmt:msA.v1:39r,,
,urn:cite2:hmt:msA.v1:39v,,
,urn:cite2:hmt:msA.v1:40r,,
,urn:cite2:hmt:msA.v1:40v,,
,urn:cite2:hmt:msA.v1:41r,,
,urn:cite2:hmt:msA.v1:41v,,
,urn:cite2:hmt:msA.v1:42r,,
,urn:cite2:hmt:msA.v1:42v,,
,urn:cite2:hmt:msA.v1:43r,,
,urn:cite2:hmt:msA.v1:43v,,
,urn:cite2:hmt:msA.v1:44r,,
,urn:cite2:hmt:msA.v1:44v,,
,urn:cite2:hmt:msA.v1:45r,,
,urn:cite2:hmt:msA.v1:45v,,
,urn:cite2:hmt:msA.v1:46r,,
,urn:cite2:hmt:msA.v1:46v,,
,urn:cite2:hmt:msA.v1:47r,,
,urn:cite2:hmt:msA.v1:47v,,
,urn:cite2:hmt:msA.v1:48r,,
,urn:cite2:hmt:msA.v1:48v,,
,urn:cite2:hmt:msA.v1:49r,,
,urn:cite2:hmt:msA.v1:49v,,
,urn:cite2:hmt:msA.v1:50r,,
,urn:cite2:hmt:msA.v1:50v,,
,urn:cite2:hmt:msA.v1:51r,,
,urn:cite2:hmt:msA.v1:51v,,
,urn:cite2:hmt:msA.v1:52r,,
,urn:cite2:hmt:msA.v1:52v,,
,urn:cite2:hmt:msA.v1:53r,,
,urn:cite2:hmt:msA.v1:53v,,
,urn:cite2:hmt:msA.v1:54r,,
,urn:cite2:hmt:msA.v1:54v,,
,urn:cite2:hmt:msA.v1:55r,,
,urn:cite2:hmt:msA.v1:55v,,
,urn:cite2:hmt:msA.v1:56r,,
,urn:cite2:hmt:msA.v1:56v,,
,urn:cite2:hmt:msA.v1:57r,,
,urn:cite2:hmt:msA.v1:57v,,
,urn:cite2:hmt:msA.v1:58r,,
,urn:cite2:hmt:msA.v1:58v,,
,urn:cite2:hmt:msA.v1:59r,,
,urn:cite2:hmt:msA.v1:59v,,
,urn:cite2:hmt:msA.v1:60r,,
,urn:cite2:hmt:msA.v1:60v,,
,urn:cite2:hmt:msA.v1:61r,,
,urn:cite2:hmt:msA.v1:61v,,
,urn:cite2:hmt:msA.v1:62r,,
,urn:cite2:hmt:msA.v1:62v,,
,urn:cite2:hmt:msA.v1:63r,,
,urn:cite2:hmt:msA.v1:63v,,
,urn:cite2:hmt:msA.v1:64r,,
,urn:cite2:hmt:msA.v1:64v,,
,urn:cite2:hmt:msA.v1:65r,,
,urn:cite2:hmt:msA.v1:65v,,
,urn:cite2:hmt:msA.v1:66r,,
,urn:cite2:hmt:msA.v1:66v,,
,urn:cite2:hmt:msA.v1:67r,,
,urn:cite2:hmt:msA.v1:67v,,
,urn:cite2:hmt:msA.v1:68r,,
,urn:cite2:hmt:msA.v1:68v,,
,urn:cite2:hmt:msA.v1:69r,,
,urn:cite2:hmt:msA.v1:69v,,
,urn:cite2:hmt:msA.v1:70r,,
,urn:cite2:hmt:msA.v1:70v,,
,urn:cite2:hmt:msA.v1:71r,,
,urn:cite2:hmt:msA.v1:71v,,
,urn:cite2:hmt:msA.v1:72r,,
,urn:cite2:hmt:msA.v1:72v,,
,urn:cite2:hmt:msA.v1:73r,,
,urn:cite2:hmt:msA.v1:73v,,
,urn:cite2:hmt:msA.v1:74r,,
,urn:cite2:hmt:msA.v1:74v,,
,urn:cite2:hmt:msA.v1:75r,,
,urn:cite2:hmt:msA.v1:75v,,
,urn:cite2:hmt:msA.v1:76r,,
,urn:cite2:hmt:msA.v1:76v,,
,urn:cite2:hmt:msA.v1:77r,,
,urn:cite2:hmt:msA.v1:77v,,
,urn:cite2:hmt:msA.v1:78r,,
,urn:cite2:hmt:msA.v1:78v,,
,urn:cite2:hmt:msA.v1:79r,,
,urn:cite2:hmt:msA.v1:79v,,
,urn:cite2:hmt:msA.v1:80r,,
,urn:cite2:hmt:msA.v1:80v,,
,urn:cite2:hmt:msA.v1:81r,,
,urn:cite2:hmt:msA.v1:81v,,
,urn:cite2:hmt:msA.v1:82r,,
,urn:cite2:hmt:msA.v1:82v,,
,urn:cite2:hmt:msA.v1:83r,,
,urn:cite2:hmt:msA.v1:83v,,
,urn:cite2:hmt:msA.v1:84r,,
,urn:cite2:hmt:msA.v1:84v,,
,urn:cite2:hmt:msA.v1:85r,,
,urn:cite2:hmt:msA.v1:85v,,
,urn:cite2:hmt:msA.v1:86r,,
,urn:cite2:hmt:msA.v1:86v,,
,urn:cite2:hmt:msA.v1:87r,,
,urn:cite2:hmt:msA.v1:87v,,
,urn:cite2:hmt:msA.v1:88r,,
,urn:cite2:hmt:msA.v1:88v,,
,urn:cite2:hmt:msA.v1:89r,,
,urn:cite2:hmt:msA.v1:89v,,
,urn:cite2:hmt:msA.v1:90r,,
,urn:cite2:hmt:msA.v1:90v,,
,urn:cite2:hmt:msA.v1:91r,,
,urn:cite2:hmt:msA.v1:91v,,
,urn:cite2:hmt:msA.v1:92r,,
,urn:cite2:hmt:msA.v1:92v,,
,urn:cite2:hmt:msA.v1:93r,,
,urn:cite2:hmt:msA.v1:93v,,
,urn:cite2:hmt:msA.v1:94r,,
,urn:cite2:hmt:msA.v1:94v,,
,urn:cite2:hmt:msA.v1:95r,,
,urn:cite2:hmt:msA.v1:95v,,
,urn:cite2:hmt:msA.v1:96r,,
,urn:cite2:hmt:msA.v1:96v,,
,urn:cite2:hmt:msA.v1:97r,,
,urn:cite2:hmt:msA.v1:97v,,
,urn:cite2:hmt:msA.v1:98r,,
,urn:cite2:hmt:msA.v1:98v,,
,urn:cite2:hmt:msA.v1:99r,,
,urn:cite2:hmt:msA.v1:99v,,
,urn:cite2:hmt:msA.v1:100r,,
,urn:cite2:hmt:msA.v1:100v,,
,urn:cite2:hmt:msA.v1:101r,,
,urn:cite2:hmt:msA.v1:101v,,
,urn:cite2:hmt:msA.v1:102r,,
,urn:cite2:hmt:msA.v1:102v,,
,urn:cite2:hmt:msA.v1:103r,,
,urn:cite2:hmt:msA.v1:103v,,
,urn:cite2:hmt:msA.v1:104r,,
,urn:cite2:hmt:msA.v1:104v,,
,urn:cite2:hmt:msA.v1:105r,,
,urn:cite2:hmt:msA.v1:105v,,
,urn:cite2:hmt:msA.v1:106r,,
,urn:cite2:hmt:msA.v1:106v,,
,urn:cite2:hmt:msA.v1:107r,,
,urn:cite2:hmt:msA.v1:107v,,
,urn:cite2:hmt:msA.v1:108r,,
,urn:cite2:hmt:msA.v1:108v,,
,urn:cite2:hmt:msA.v1:109r,,
,urn:cite2:hmt:msA.v1:109v,,
,urn:cite2:hmt:msA.v1:110r,,
,urn:cite2:hmt:msA.v1:110v,,
,urn:cite2:hmt:msA.v1:111r,,
,urn:cite2:hmt:msA.v1:111v,,
,urn:cite2:hmt:msA.v1:112r,,
,urn:cite2:hmt:msA.v1:112v,,
,urn:cite2:hmt:msA.v1:113r,,
,urn:cite2:hmt:msA.v1:113v,,
,urn:cite2:hmt:msA.v1:114r,,
,urn:cite2:hmt:msA.v1:114v,,
,urn:cite2:hmt:msA.v1:115r,,
,urn:cite2:hmt:msA.v1:115v,,
,urn:cite2:hmt:msA.v1:116r,,
,urn:cite2:hmt:msA.v1:116v,,
,urn:cite2:hmt:msA.v1:117r,,
,urn:cite2:hmt:msA.v1:117v,,
,urn:cite2:hmt:msA.v1:118r,,
,urn:cite2:hmt:msA.v1:118v,,
,urn:cite2:hmt:msA.v1:119r,,
,urn:cite2:hmt:msA.v1:119v,,
,urn:cite2:hmt:msA.v1:120r,,
,urn:cite2:hmt:msA.v1:120v,,
,urn:cite2:hmt:msA.v1:121r,,
,urn:cite2:hmt:msA.v1:121v,,
,urn:cite2:hmt:msA.v1:122r,,
,urn:cite2:hmt:msA.v1:122v,,
,urn:cite2:hmt:msA.v1:123r,,
,urn:cite2:hmt:msA.v1:123v,,
,urn:cite2:hmt:msA.v1:124r,,
,urn:cite2:hmt:msA.v1:124v,,
,urn:cite2:hmt:msA.v1:125r,,
,urn:cite2:hmt:msA.v1:125v,,
,urn:cite2:hmt:msA.v1:126r,,
,urn:cite2:hmt:msA.v1:126v,,
,urn:cite2:hmt:msA.v1:127r,,
,urn:cite2:hmt:msA.v1:127v,,
,urn:cite2:hmt:msA.v1:128r,,
,urn:cite2:hmt:msA.v1:128v,,
,urn:cite2:hmt:msA.v1:129r,,
,urn:cite2:hmt:msA.v1:129v,,
,urn:cite2:hmt:msA.v1:130r,,
,urn:cite2:hmt:msA.v1:130v,,
,urn:cite2:hmt:msA.v1:131r,,
,urn:cite2:hmt:msA.v1:131v,,
,urn:cite2:hmt:msA.v1:132r,,
,urn:cite2:hmt:msA.v1:132v,,
,urn:cite2:hmt:msA.v1:133r,,
,urn:cite2:hmt:msA.v1:133v,,
,urn:cite2:hmt:msA.v1:134r,,
,urn:cite2:hmt:msA.v1:134v,,
,urn:cite2:hmt:msA.v1:135r,,
,urn:cite2:hmt:msA.v1:135v,,
,urn:cite2:hmt:msA.v1:136r,,
,urn:cite2:hmt:msA.v1:136v,,
,urn:cite2:hmt:msA.v1:137r,,
,urn:cite2:hmt:msA.v1:137v,,
,urn:cite2:hmt:msA.v1:138r,,
,urn:cite2:hmt:msA.v1:138v,,
,urn:cite2:hmt:msA.v1:139r,,
,urn:cite2:hmt:msA.v1:139v,,
,urn:cite2:hmt:msA.v1:140r,,
,urn:cite2:hmt:msA.v1:140v,,
,urn:cite2:hmt:msA.v1:141r,,
,urn:cite2:hmt:msA.v1:141v,,
,urn:cite2:hmt:msA.v1:142r,,
